DEPARTAMENTO,CIUDAD,NOMBRE CONCESIONARIO,NOMBRE EMISORA,CODIGO EMISORA,DISTINTIVO,FRECUENCIA,BANDA,"CLASE DE
EMISORA"
ANTIOQUIA,MEDELLÍN,RADIO CADENA NACIONAL S.A.S,RCN RADIO,51513,HJCH,990 kHz,AM,COMERCIAL
ANTIOQUIA,RIONEGRO,RADIO CADENA NACIONAL S.A.S,RCN RADIO,51521,HJNU,1370 kHz,AM,COMERCIAL
ANTIOQUIA,CAUCASIA,RADIO CADENA NACIONAL S.A.S,RUMBA ESTÉREO,52627,HJG35,91.3 MHz,FM,COMERCIAL
ANTIOQUIA,ANDES,CIRCUITO RADIAL DEL SUROESTE LTDA.,TRANSMISORA SURANDES,51805,HJGQ,1100 kHz,AM,COMERCIAL
ANTIOQUIA,ENVIGADO,CARACOL PRIMERA CADENA RADIAL COLOMBIANA S.A.,TROPICANA,52005,HJVJ,98.9 MHz,FM,COMERCIAL
ANTIOQUIA,MEDELLÍN,SISTEMA RADIAL K. DE LA CIUDAD DE BOGOTÁ COMPAÑÍA LTDA.,VIDA AM 870,51509,HJZH,870 kHz,AM,COMERCIAL
ANTIOQUIA,MEDELLÍN,PROMOTORA DE PUBLICIDAD RADIAL S.A,W+,52630,HJG53,99.4 MHz,FM,COMERCIAL
ANTIOQUIA,MEDELLÍN,FUNDACIÓN ESCUELA BÍBLICA CATÓLICA YESHU'A,YESHUA LA VOZ DE JESUCRISTO,51510,HJDN,1530 kHz,AM,COMERCIAL
ANTIOQUIA,MEDELLÍN,FUNDACIÓN CULTURAL CECILIA LINCE VELÁSQUEZ - ONDAS DE LA MONTAÑA,ONDAS DE LA MONTAÑA,51502,HJDS,1350 kHz,AM,COMERCIAL
ANTIOQUIA,MEDELLÍN,IGLESIA CRISTIANA PENTECOSTÉS DE COLOMBIA DEL MOVIMIENTO MISIONERO MUNDIAL INC,LA W RADIO,51527,HJCR,590 kHz,AM,COMERCIAL
ANTIOQUIA,SANTA FÉ DE ANTIOQUIA,LUZ MARINA GOMEZ GUIRAL - EMISORA COMERCIAL DE SANTA FE DE ANTIOQUIA,EMISORA COMERCIAL DE SANTA FÉ DE ANTIOQUIA,54088,HJG23,106.7 MHz,FM,COMERCIAL
