DEPARTAMENTO;CIUDAD;NOMBRE CONCESIONARIO;NOMBRE EMISORA;CODIGO EMISORA;DISTINTIVO;FRECUENCIA;BANDA;"CLASE DE
EMISORA"
ANTIOQUIA;CAUCASIA;CORPORACION DE MEDIOS DE ANTIOQUIA CORMEDIAN;BAJO CAUCA RADIO ;54224;HJE88;100.8 MHz;FM;COMUNITARIA
ANTIOQUIA;CHIGORODO;ASOCIACION PRODESARROLLO DE CHIGORODO;BANANA STEREO;52208;HKA63;88.5 MHz;FM;COMUNITARIA
ANTIOQUIA;BETULIA;CORPORACION RADIO BETULIA STEREO;BETULIA STEREO;52202;HKA48;104.4 MHz;FM;COMUNITARIA
ANTIOQUIA;BRICENO;ONG CORPORACION RIO ESPIRITU SANTO BRICENO;BRICENO STEREO;53379;HKA50;105.4 MHz;FM;COMUNITARIA
ANTIOQUIA;BARBOSA;ASOCIACION COMUNITARIA EN CONSENSO POR BARBOSA;BRILLANTE STEREO;52200;HKA44;88.4 MHz;FM;COMUNITARIA
ANTIOQUIA;CAMPAMENTO;CORPORACION CULTURAL Y COMUNITARIA CAMPAMENTO STEREO;CAMPAMENTO ESTEREO;53133;HKA55;97.5 MHz;FM;COMUNITARIA
ANTIOQUIA;SONSON;ASOCIACION COMUNITARIA LOS COMUNEROS;CAPIRO STEREO;52238;HKB48;104.4 MHz;FM;COMUNITARIA
ANTIOQUIA;COCORNA;ASOCIACION COMUNITARIA PARA PROMOCION CULTURAL DE COCORNA;CASCADA ESTEREO;52207;HKA65;107.4 MHz;FM;COMUNITARIA
ANTIOQUIA;CAUCASIA;JUNTA DE ACCION COMUNAL BARRIO PUEBLO NUEVO;CAUCASIA STEREO;52720;HKA62;89.4 MHz;FM;COMUNITARIA
ANTIOQUIA;LA CEJA;ASOCIACION COMUNITARIA EL CAPIRO;CELESTE STEREO;52220;HKA89;105.4 MHz;FM;COMUNITARIA
ANTIOQUIA;FREDONIA;CORPORACION REMANSO DE PAZ;CERROS ESTEREO;52212;HKA75;107.4 MHz;FM;COMUNITARIA
ANTIOQUIA;CISNEROS;ASOCIACION AMIGOS POR CISNEROS;CISNEROS STEREO 105.4;52721;HKA64;105.4 MHz;FM;COMUNITARIA
ANTIOQUIA;ARBOLETES;ASOCIACION TURISTICA Y SOCIAL DE ARBOLETES;CORAL F.M STEREO;52198;HKA41;107.4 MHz;FM;COMUNITARIA
ANTIOQUIA;SANTA BARBARA;CORPORACION ECOS DE SANTA BARBARA;CORDIAL ESTEREO;52234;HKB42;101.1 MHz;FM;COMUNITARIA
ANTIOQUIA;YARUMAL;CORPORACION CERRO AZUL FM STEREO DE YARUMAL;CORPORACION CERRO AZUL ESTEREO;52247;HKB66;107.4 MHz;FM;COMUNITARIA
ANTIOQUIA;VALDIVIA;CORPORACION AMIGOS POR VALDIVIA - COAVA;DIGITAL STEREO;53415;HKB60;104.4 MHz;FM;COMUNITARIA
ANTIOQUIA;SANTO DOMINGO;ASOCIACION COMUNITARIA DOMINICANA;DOMINICANA STEREO 107.4 FM;52735;HKB51;107.4 MHz;FM;COMUNITARIA
ANTIOQUIA;SAN JUAN DE URABA;FUNDACION CRISTIANA NUEVA ESPERANZA PARA EL DESARROLLO INTEGRAL DE SAN JUAN DE URABA - FUNDIPAZ;EMISORA OLA ESTEREO;53254;HKB46;107.9 MHz;FM;COMUNITARIA
ANTIOQUIA;TAMESIS;SISTEMA COMUNITARIO DE MEDIOS DE COMUNICACION DE TAMESIS;EMISORA TAMESIS ESTEREO 107.4 F.M;53229;HKB52;107.4 MHz;FM;COMUNITARIA
ANTIOQUIA;LA PINTADA; CORPORACION ECOLOGICA Y RADIAL FARALLONES DEL MUNICIPIO DE LA PINTADA ANTIOQUIA - CERFAR;FARALLONES DIGITAL STEREO;53413;HJJ28;95.4 MHz;FM;COMUNITARIA
ANTIOQUIA;MEDELLIN;CORPORACION RADIAL DE PRADO PARA LA COMUNICACION Y EL DESARROLLO COMUNITARIO;FRECUENCIA ESTEREO 88.4 F.M. - AREA DE SERVICIO NO. 3;53409;HJU60;88.4 MHz;FM;COMUNITARIA
ANTIOQUIA;MARINILLA;CORPORACION PARA LA COMUNICACION LA CULTURA Y EL DESARROLLO DEL ORIENTE;GALACTICA ESTEREO 107.4 FM;52221;HKA93;107.4 MHz;FM;COMUNITARIA
